Source;LoadingType;ProblemInstance;ExecutionTime;ProblamGroup
TEMPELMEIER;DISK;TM_422GC_2;112,5293903;TM_4
TEMPELMEIER;DISK;TM_431GC_2;111,7732813;TM_4
TEMPELMEIER;DISK;TM_432GC_2;114,5302701;TM_4
TEMPELMEIER;DISK;TM_511AA_1;111,7734842;TM_5
TEMPELMEIER;DISK;TM_512AA_1;113,3886857;TM_5
TEMPELMEIER;DISK;TM_521AA_1;112,822171;TM_5
TEMPELMEIER;DISK;TM_522AA_1;111,8818109;TM_5
TEMPELMEIER;DISK;TM_531AA_1;114,3525841;TM_5
TEMPELMEIER;DISK;TM_532AA_1;113,0661623;TM_5
TEMPELMEIER;DISK;TM_511AA_2;113,4484115;TM_5
TEMPELMEIER;DISK;TM_512AA_2;113,164423;TM_5
TEMPELMEIER;DISK;TM_521AA_2;113,7237287;TM_5
TEMPELMEIER;DISK;TM_522AA_2;114,8677294;TM_5
TEMPELMEIER;DISK;TM_531AA_2;112,9115129;TM_5
TEMPELMEIER;DISK;TM_532AA_2;111,9873958;TM_5
TEMPELMEIER;DISK;TM_511AC_1;113,3111193;TM_5
TEMPELMEIER;DISK;TM_512AC_1;113,3805687;TM_5
TEMPELMEIER;DISK;TM_521AC_1;118,1332645;TM_5
TEMPELMEIER;DISK;TM_522AC_1;113,7862122;TM_5
TEMPELMEIER;DISK;TM_531AC_1;114,8827059;TM_5
TEMPELMEIER;DISK;TM_532AC_1;113,9829307;TM_5
TEMPELMEIER;DISK;TM_511AC_2;112,6436687;TM_5
TEMPELMEIER;DISK;TM_512AC_2;114,3868327;TM_5
TEMPELMEIER;DISK;TM_521AC_2;112,6730032;TM_5
TEMPELMEIER;DISK;TM_522AC_2;128,6856802;TM_5
TEMPELMEIER;DISK;TM_531AC_2;117,1025777;TM_5
TEMPELMEIER;DISK;TM_532AC_2;113,9801207;TM_5
TEMPELMEIER;DISK;TM_511GA_1;116,074472;TM_5
TEMPELMEIER;DISK;TM_512GA_1;113,5279388;TM_5
TEMPELMEIER;DISK;TM_521GA_1;112,0808837;TM_5
TEMPELMEIER;DISK;TM_522GA_1;112,3354158;TM_5
TEMPELMEIER;DISK;TM_531GA_1;113,875984;TM_5
TEMPELMEIER;DISK;TM_532GA_1;117,248858;TM_5
TEMPELMEIER;DISK;TM_511GA_2;112,3771143;TM_5
TEMPELMEIER;DISK;TM_512GA_2;114,7064443;TM_5
TEMPELMEIER;DISK;TM_521GA_2;114,0910847;TM_5
TEMPELMEIER;DISK;TM_522GA_2;114,2371709;TM_5
TEMPELMEIER;DISK;TM_531GA_2;117,0815642;TM_5
TEMPELMEIER;DISK;TM_532GA_2;113,3650062;TM_5
TEMPELMEIER;DISK;TM_511GC_1;112,6106515;TM_5
TEMPELMEIER;DISK;TM_512GC_1;114,8298414;TM_5
TEMPELMEIER;DISK;TM_521GC_1;113,0957212;TM_5
TEMPELMEIER;DISK;TM_522GC_1;114,4154189;TM_5
TEMPELMEIER;DISK;TM_531GC_1;112,0744236;TM_5
TEMPELMEIER;DISK;TM_532GC_1;112,3359556;TM_5
TEMPELMEIER;DISK;TM_511GC_2;111,9436004;TM_5
TEMPELMEIER;DISK;TM_512GC_2;117,9821901;TM_5
TEMPELMEIER;DISK;TM_521GC_2;118,4875748;TM_5
TEMPELMEIER;DISK;TM_522GC_2;116,5323701;TM_5
TEMPELMEIER;DISK;TM_531GC_2;114,0748556;TM_5
TEMPELMEIER;DISK;TM_532GC_2;113,9997196;TM_5
TEMPELMEIER;DISK;TM_611AA_1;113,8803122;TM_6
TEMPELMEIER;DISK;TM_612AA_1;114,3974159;TM_6
TEMPELMEIER;DISK;TM_621AA_1;112,4781899;TM_6
TEMPELMEIER;DISK;TM_622AA_1;113,0515451;TM_6
TEMPELMEIER;DISK;TM_631AA_1;113,7430487;TM_6
TEMPELMEIER;DISK;TM_632AA_1;113,8904223;TM_6
TEMPELMEIER;DISK;TM_611AA_2;114,2246292;TM_6
TEMPELMEIER;DISK;TM_612AA_2;112,160239;TM_6
TEMPELMEIER;DISK;TM_621AA_2;113,3332913;TM_6
TEMPELMEIER;DISK;TM_622AA_2;112,6556723;TM_6
TEMPELMEIER;DISK;TM_631AA_2;112,6093812;TM_6
TEMPELMEIER;DISK;TM_632AA_2;114,0812864;TM_6
TEMPELMEIER;DISK;TM_611AC_1;112,2531316;TM_6
TEMPELMEIER;DISK;TM_612AC_1;112,9538248;TM_6
TEMPELMEIER;DISK;TM_621AC_1;113,5934021;TM_6
TEMPELMEIER;DISK;TM_622AC_1;112,2559109;TM_6
TEMPELMEIER;DISK;TM_631AC_1;114,3125429;TM_6
TEMPELMEIER;DISK;TM_632AC_1;113,3828661;TM_6
TEMPELMEIER;DISK;TM_611AC_2;112,1340873;TM_6
TEMPELMEIER;DISK;TM_612AC_2;112,4274485;TM_6
TEMPELMEIER;DISK;TM_621AC_2;113,2798316;TM_6
TEMPELMEIER;DISK;TM_622AC_2;114,9482169;TM_6
TEMPELMEIER;DISK;TM_631AC_2;113,0406356;TM_6
TEMPELMEIER;DISK;TM_632AC_2;112,0849316;TM_6
TEMPELMEIER;DISK;TM_611GA_1;111,7090876;TM_6
TEMPELMEIER;DISK;TM_612GA_1;113,2635937;TM_6
TEMPELMEIER;DISK;TM_621GA_1;115,1987998;TM_6
TEMPELMEIER;DISK;TM_622GA_1;126,5101149;TM_6
TEMPELMEIER;DISK;TM_631GA_1;115,6493986;TM_6
TEMPELMEIER;DISK;TM_632GA_1;114,1023071;TM_6
TEMPELMEIER;DISK;TM_611GA_2;114,0213439;TM_6
TEMPELMEIER;DISK;TM_612GA_2;112,270427;TM_6
TEMPELMEIER;DISK;TM_621GA_2;113,0556319;TM_6
TEMPELMEIER;DISK;TM_622GA_2;112,5405166;TM_6
TEMPELMEIER;DISK;TM_631GA_2;113,8299203;TM_6
TEMPELMEIER;DISK;TM_632GA_2;114,5369768;TM_6
TEMPELMEIER;DISK;TM_611GC_1;112,2329361;TM_6
TEMPELMEIER;DISK;TM_612GC_1;114,2470262;TM_6
TEMPELMEIER;DISK;TM_621GC_1;112,6650534;TM_6
TEMPELMEIER;DISK;TM_622GC_1;112,8225112;TM_6
TEMPELMEIER;DISK;TM_631GC_1;114,9308069;TM_6
TEMPELMEIER;DISK;TM_632GC_1;113,0620944;TM_6
TEMPELMEIER;DISK;TM_611GC_2;112,6337481;TM_6
TEMPELMEIER;DISK;TM_612GC_2;113,1915052;TM_6
TEMPELMEIER;DISK;TM_621GC_2;112,6914601;TM_6
TEMPELMEIER;DISK;TM_622GC_2;113,5087268;TM_6
TEMPELMEIER;DISK;TM_631GC_2;112,1496272;TM_6
TEMPELMEIER;DISK;TM_632GC_2;113,3808002;TM_6
AKARTUNALI;DISK;AKARTUNALI_SET1;15,07391405;AKARTUNALI_SET1
AKARTUNALI;DISK;AKARTUNALI_SET2;15,33188319;AKARTUNALI_SET2
AKARTUNALI;DISK;AKARTUNALI_SET3;15,12027812;AKARTUNALI_SET3
AKARTUNALI;DISK;AKARTUNALI_SET4;15,07737494;AKARTUNALI_SET4
SUERIE;DISK;SUERIE_0001;11,46823144;SUERIE_1
SUERIE;DISK;SUERIE_0002;11,5109756;SUERIE_1
SUERIE;DISK;SUERIE_0003;11,49951744;SUERIE_1
SUERIE;DISK;SUERIE_0004;11,47685575;SUERIE_1
SUERIE;DISK;SUERIE_0005;11,58192182;SUERIE_1
SUERIE;DISK;SUERIE_0006;11,46685266;SUERIE_1
SUERIE;DISK;SUERIE_0007;11,54221988;SUERIE_1
SUERIE;DISK;SUERIE_0008;11,4949708;SUERIE_1
SUERIE;DISK;SUERIE_0009;11,57428098;SUERIE_1
SUERIE;DISK;SUERIE_0010;11,81321001;SUERIE_1
SUERIE;DISK;SUERIE_0011;11,37028027;SUERIE_1
